path_signal,path_target,is_valid
"./data_examples/test.h5/HV110_P0500510001/X/(448, 256)","./data_examples/test.h5/HV110_P0500510001/y/(448, 256)",0
"./data_examples/test.h5/HV110_P0500510000/X/(448, 320)","./data_examples/test.h5/HV110_P0500510000/y/(448, 320)",1
"./data_examples/test.h5/HV110_P0500510000/X/(448, 256)","./data_examples/test.h5/HV110_P0500510000/y/(448, 256)",0
"./data_examples/test.h5/HV110_P0500510000/X/(448, 128)","./data_examples/test.h5/HV110_P0500510000/y/(448, 128)",0
"./data_examples/test.h5/HV110_P0500510001/X/(448, 0)","./data_examples/test.h5/HV110_P0500510001/y/(448, 0)",1
"./data_examples/test.h5/HV110_P0500510001/X/(320, 128)","./data_examples/test.h5/HV110_P0500510001/y/(320, 128)",0
"./data_examples/test.h5/HV110_P0500510001/X/(0, 128)","./data_examples/test.h5/HV110_P0500510001/y/(0, 128)",0
"./data_examples/test.h5/HV110_P0500510001/X/(384, 192)","./data_examples/test.h5/HV110_P0500510001/y/(384, 192)",1
"./data_examples/test.h5/HV110_P0500510001/X/(64, 0)","./data_examples/test.h5/HV110_P0500510001/y/(64, 0)",0
"./data_examples/test.h5/HV110_P0500510000/X/(448, 448)","./data_examples/test.h5/HV110_P0500510000/y/(448, 448)",0
"./data_examples/test.h5/HV110_P0500510001/X/(384, 64)","./data_examples/test.h5/HV110_P0500510001/y/(384, 64)",0
"./data_examples/test.h5/HV110_P0500510001/X/(0, 384)","./data_examples/test.h5/HV110_P0500510001/y/(0, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(0, 320)","./data_examples/test.h5/HV110_P0500510001/y/(0, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(192, 384)","./data_examples/test.h5/HV110_P0500510000/y/(192, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(320, 256)","./data_examples/test.h5/HV110_P0500510001/y/(320, 256)",0
"./data_examples/test.h5/HV110_P0500510000/X/(0, 320)","./data_examples/test.h5/HV110_P0500510000/y/(0, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(320, 448)","./data_examples/test.h5/HV110_P0500510000/y/(320, 448)",0
"./data_examples/test.h5/HV110_P0500510001/X/(256, 0)","./data_examples/test.h5/HV110_P0500510001/y/(256, 0)",0
"./data_examples/test.h5/HV110_P0500510000/X/(192, 128)","./data_examples/test.h5/HV110_P0500510000/y/(192, 128)",0
"./data_examples/test.h5/HV110_P0500510000/X/(320, 320)","./data_examples/test.h5/HV110_P0500510000/y/(320, 320)",0
"./data_examples/test.h5/HV110_P0500510001/X/(256, 128)","./data_examples/test.h5/HV110_P0500510001/y/(256, 128)",0
"./data_examples/test.h5/HV110_P0500510000/X/(64, 320)","./data_examples/test.h5/HV110_P0500510000/y/(64, 320)",0
"./data_examples/test.h5/HV110_P0500510001/X/(192, 128)","./data_examples/test.h5/HV110_P0500510001/y/(192, 128)",0
"./data_examples/test.h5/HV110_P0500510000/X/(256, 128)","./data_examples/test.h5/HV110_P0500510000/y/(256, 128)",0
"./data_examples/test.h5/HV110_P0500510000/X/(192, 0)","./data_examples/test.h5/HV110_P0500510000/y/(192, 0)",1
"./data_examples/test.h5/HV110_P0500510000/X/(192, 448)","./data_examples/test.h5/HV110_P0500510000/y/(192, 448)",0
"./data_examples/test.h5/HV110_P0500510001/X/(64, 448)","./data_examples/test.h5/HV110_P0500510001/y/(64, 448)",0
"./data_examples/test.h5/HV110_P0500510001/X/(256, 320)","./data_examples/test.h5/HV110_P0500510001/y/(256, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(128, 128)","./data_examples/test.h5/HV110_P0500510000/y/(128, 128)",0
"./data_examples/test.h5/HV110_P0500510001/X/(256, 448)","./data_examples/test.h5/HV110_P0500510001/y/(256, 448)",0
"./data_examples/test.h5/HV110_P0500510001/X/(0, 64)","./data_examples/test.h5/HV110_P0500510001/y/(0, 64)",0
"./data_examples/test.h5/HV110_P0500510001/X/(256, 64)","./data_examples/test.h5/HV110_P0500510001/y/(256, 64)",0
"./data_examples/test.h5/HV110_P0500510001/X/(128, 64)","./data_examples/test.h5/HV110_P0500510001/y/(128, 64)",0
"./data_examples/test.h5/HV110_P0500510000/X/(320, 192)","./data_examples/test.h5/HV110_P0500510000/y/(320, 192)",0
"./data_examples/test.h5/HV110_P0500510001/X/(448, 320)","./data_examples/test.h5/HV110_P0500510001/y/(448, 320)",1
"./data_examples/test.h5/HV110_P0500510001/X/(128, 256)","./data_examples/test.h5/HV110_P0500510001/y/(128, 256)",0
"./data_examples/test.h5/HV110_P0500510001/X/(192, 320)","./data_examples/test.h5/HV110_P0500510001/y/(192, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(384, 256)","./data_examples/test.h5/HV110_P0500510000/y/(384, 256)",0
"./data_examples/test.h5/HV110_P0500510000/X/(192, 192)","./data_examples/test.h5/HV110_P0500510000/y/(192, 192)",0
"./data_examples/test.h5/HV110_P0500510001/X/(192, 0)","./data_examples/test.h5/HV110_P0500510001/y/(192, 0)",0
"./data_examples/test.h5/HV110_P0500510001/X/(448, 128)","./data_examples/test.h5/HV110_P0500510001/y/(448, 128)",0
"./data_examples/test.h5/HV110_P0500510000/X/(0, 128)","./data_examples/test.h5/HV110_P0500510000/y/(0, 128)",0
"./data_examples/test.h5/HV110_P0500510000/X/(64, 64)","./data_examples/test.h5/HV110_P0500510000/y/(64, 64)",0
"./data_examples/test.h5/HV110_P0500510000/X/(0, 448)","./data_examples/test.h5/HV110_P0500510000/y/(0, 448)",0
"./data_examples/test.h5/HV110_P0500510000/X/(448, 0)","./data_examples/test.h5/HV110_P0500510000/y/(448, 0)",0
"./data_examples/test.h5/HV110_P0500510000/X/(384, 384)","./data_examples/test.h5/HV110_P0500510000/y/(384, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(384, 384)","./data_examples/test.h5/HV110_P0500510001/y/(384, 384)",0
"./data_examples/test.h5/HV110_P0500510000/X/(192, 256)","./data_examples/test.h5/HV110_P0500510000/y/(192, 256)",0
"./data_examples/test.h5/HV110_P0500510000/X/(384, 0)","./data_examples/test.h5/HV110_P0500510000/y/(384, 0)",0
"./data_examples/test.h5/HV110_P0500510001/X/(128, 192)","./data_examples/test.h5/HV110_P0500510001/y/(128, 192)",0
"./data_examples/test.h5/HV110_P0500510000/X/(0, 0)","./data_examples/test.h5/HV110_P0500510000/y/(0, 0)",0
"./data_examples/test.h5/HV110_P0500510001/X/(320, 320)","./data_examples/test.h5/HV110_P0500510001/y/(320, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(256, 320)","./data_examples/test.h5/HV110_P0500510000/y/(256, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(64, 256)","./data_examples/test.h5/HV110_P0500510000/y/(64, 256)",1
"./data_examples/test.h5/HV110_P0500510001/X/(128, 128)","./data_examples/test.h5/HV110_P0500510001/y/(128, 128)",0
"./data_examples/test.h5/HV110_P0500510001/X/(128, 320)","./data_examples/test.h5/HV110_P0500510001/y/(128, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(128, 320)","./data_examples/test.h5/HV110_P0500510000/y/(128, 320)",0
"./data_examples/test.h5/HV110_P0500510001/X/(128, 0)","./data_examples/test.h5/HV110_P0500510001/y/(128, 0)",0
"./data_examples/test.h5/HV110_P0500510000/X/(256, 64)","./data_examples/test.h5/HV110_P0500510000/y/(256, 64)",0
"./data_examples/test.h5/HV110_P0500510000/X/(256, 384)","./data_examples/test.h5/HV110_P0500510000/y/(256, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(128, 448)","./data_examples/test.h5/HV110_P0500510001/y/(128, 448)",0
"./data_examples/test.h5/HV110_P0500510000/X/(64, 192)","./data_examples/test.h5/HV110_P0500510000/y/(64, 192)",0
"./data_examples/test.h5/HV110_P0500510001/X/(0, 448)","./data_examples/test.h5/HV110_P0500510001/y/(0, 448)",0
"./data_examples/test.h5/HV110_P0500510001/X/(256, 384)","./data_examples/test.h5/HV110_P0500510001/y/(256, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(256, 256)","./data_examples/test.h5/HV110_P0500510001/y/(256, 256)",1
"./data_examples/test.h5/HV110_P0500510000/X/(0, 192)","./data_examples/test.h5/HV110_P0500510000/y/(0, 192)",0
"./data_examples/test.h5/HV110_P0500510000/X/(128, 384)","./data_examples/test.h5/HV110_P0500510000/y/(128, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(320, 448)","./data_examples/test.h5/HV110_P0500510001/y/(320, 448)",0
"./data_examples/test.h5/HV110_P0500510000/X/(448, 384)","./data_examples/test.h5/HV110_P0500510000/y/(448, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(192, 64)","./data_examples/test.h5/HV110_P0500510001/y/(192, 64)",0
"./data_examples/test.h5/HV110_P0500510001/X/(192, 256)","./data_examples/test.h5/HV110_P0500510001/y/(192, 256)",0
"./data_examples/test.h5/HV110_P0500510000/X/(128, 256)","./data_examples/test.h5/HV110_P0500510000/y/(128, 256)",0
"./data_examples/test.h5/HV110_P0500510001/X/(192, 192)","./data_examples/test.h5/HV110_P0500510001/y/(192, 192)",0
"./data_examples/test.h5/HV110_P0500510001/X/(384, 320)","./data_examples/test.h5/HV110_P0500510001/y/(384, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(320, 0)","./data_examples/test.h5/HV110_P0500510000/y/(320, 0)",1
"./data_examples/test.h5/HV110_P0500510000/X/(64, 0)","./data_examples/test.h5/HV110_P0500510000/y/(64, 0)",1
"./data_examples/test.h5/HV110_P0500510001/X/(64, 320)","./data_examples/test.h5/HV110_P0500510001/y/(64, 320)",0
"./data_examples/test.h5/HV110_P0500510000/X/(64, 448)","./data_examples/test.h5/HV110_P0500510000/y/(64, 448)",0
"./data_examples/test.h5/HV110_P0500510001/X/(448, 384)","./data_examples/test.h5/HV110_P0500510001/y/(448, 384)",0
"./data_examples/test.h5/HV110_P0500510000/X/(256, 256)","./data_examples/test.h5/HV110_P0500510000/y/(256, 256)",0
"./data_examples/test.h5/HV110_P0500510001/X/(64, 128)","./data_examples/test.h5/HV110_P0500510001/y/(64, 128)",0
"./data_examples/test.h5/HV110_P0500510000/X/(64, 384)","./data_examples/test.h5/HV110_P0500510000/y/(64, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(0, 192)","./data_examples/test.h5/HV110_P0500510001/y/(0, 192)",0
"./data_examples/test.h5/HV110_P0500510001/X/(320, 192)","./data_examples/test.h5/HV110_P0500510001/y/(320, 192)",0
"./data_examples/test.h5/HV110_P0500510000/X/(0, 384)","./data_examples/test.h5/HV110_P0500510000/y/(0, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(448, 192)","./data_examples/test.h5/HV110_P0500510001/y/(448, 192)",0
